Date,Open,High,Low,Close,Adj Close,Volume
1994-02-28,16.375000,16.375000,16.250000,16.281250,4.356136,1874800
1994-03-01,16.187500,16.218750,15.687500,15.875000,4.247440,2092800
1994-03-02,15.625000,16.062500,15.437500,16.062500,4.297608,2268000
1994-03-03,15.875000,16.062500,15.812500,16.062500,4.297608,668400
1994-03-04,16.093750,16.218750,16.093750,16.125000,4.314330,1336000
1994-03-07,16.406250,16.437500,16.312500,16.343750,4.372858,2975200
1994-03-08,16.281250,16.343750,15.937500,15.937500,4.264163,2078400
1994-03-09,15.968750,16.000000,15.781250,15.968750,4.272524,1594400
1994-03-10,16.031250,16.031250,15.656250,15.750000,4.213996,1288400
1994-03-11,15.781250,15.875000,15.718750,15.875000,4.247440,2215600
1994-03-14,16.000000,16.062500,15.937500,15.968750,4.272524,1913600
1994-03-15,16.062500,16.156250,16.062500,16.062500,4.297608,1592000
1994-03-16,16.000000,16.250000,16.000000,16.218750,4.339413,2519600
1994-03-17,16.500000,16.562500,16.468750,16.500000,4.414666,1908800
1994-03-18,16.406250,16.406250,16.250000,16.343750,4.372858,569600
1994-03-21,16.468750,16.593750,16.437500,16.562500,4.431385,2138000
1994-03-22,16.718750,16.843750,16.687500,16.812500,4.498272,2077200
1994-03-23,16.843750,16.937500,16.843750,16.937500,4.531719,2002800
1994-03-24,16.687500,16.687500,16.562500,16.656250,4.456469,1313200
1994-03-25,16.656250,16.812500,16.625000,16.656250,4.456469,1934400
1994-03-28,16.437500,16.437500,16.093750,16.125000,4.314330,1596400
1994-03-29,15.906250,16.000000,15.625000,15.687500,4.197273,1882400
1994-03-30,15.687500,15.687500,15.406250,15.406250,4.122023,1491600
1994-03-31,15.500000,15.593750,15.343750,15.343750,4.105305,1626800
1994-04-04,14.750000,14.906250,14.593750,14.843750,3.971522,3746400
1994-04-05,15.125000,15.562500,15.125000,15.531250,4.155470,2479600
1994-04-06,15.656250,16.000000,15.593750,15.968750,4.272524,3227200
1994-04-07,16.250000,16.343750,16.187500,16.281250,4.356136,2744400
1994-04-08,16.281250,16.531250,16.281250,16.500000,4.414666,2237200
1994-04-11,16.500000,16.531250,16.406250,16.531250,4.423027,1614800
1994-04-12,16.531250,16.531250,16.437500,16.500000,4.414666,2536000
1994-04-13,16.437500,16.437500,16.281250,16.312500,4.364495,1824800
1994-04-14,16.343750,16.718750,16.343750,16.718750,4.473191,2912800
1994-04-15,17.156250,17.343750,17.109375,17.218750,4.606969,3391600
1994-04-18,17.281250,17.343750,16.906250,17.187500,4.598607,4177600
1994-04-19,17.000000,17.125000,17.000000,17.093750,4.573524,2155600
1994-04-20,17.031250,17.062500,16.750000,16.781250,4.489913,3790800
1994-04-21,16.812500,16.906250,16.812500,16.843750,4.506636,4820400
1994-04-22,17.093750,17.250000,17.062500,17.250000,4.615329,2592400
1994-04-25,17.343750,17.468750,17.250000,17.437500,4.665495,2579600
1994-04-26,17.593750,17.625000,17.437500,17.500000,4.682220,3827200
1994-04-28,17.750000,17.750000,17.437500,17.531250,4.690579,4045200
1994-04-29,17.468750,17.531250,17.437500,17.500000,4.682220,3176800
1994-05-02,17.468750,17.468750,17.343750,17.406250,4.657133,1671600
1994-05-03,17.250000,17.250000,17.093750,17.250000,4.615329,1091600
1994-05-04,17.312500,17.375000,17.125000,17.218750,4.606969,1257200
1994-05-05,17.843750,17.968750,17.812500,17.867188,4.780460,6840000
1994-05-06,18.000000,18.218750,17.937500,18.218750,4.874522,4948400
1994-05-09,18.187500,18.406250,18.125000,18.218750,4.874522,2454800
1994-05-10,18.250000,18.250000,18.125000,18.187500,4.866164,2073200
1994-05-11,17.937500,18.125000,17.937500,18.000000,4.815997,2139200
1994-05-12,18.031250,18.156250,18.000000,18.125000,4.849439,2431600
1994-05-13,18.343750,18.343750,18.187500,18.187500,4.866164,1996800
1994-05-16,18.218750,18.250000,18.187500,18.218750,4.874522,2780000
1994-05-17,18.187500,18.281250,18.156250,18.281250,4.891245,1758000
1994-05-18,18.093750,18.093750,17.937500,18.000000,4.815997,2262800
1994-05-19,17.968750,18.062500,17.843750,17.968750,4.807635,2508000
1994-05-20,17.937500,18.000000,17.906250,17.968750,4.807635,1414000
1994-05-23,17.812500,18.000000,17.812500,17.906250,4.828668,2522400
1994-05-24,17.937500,18.093750,17.937500,18.031250,4.862378,2275200
1994-05-25,17.781250,17.843750,17.750000,17.812500,4.803386,963600
1994-05-26,17.812500,17.906250,17.781250,17.781250,4.794959,1311600
1994-05-27,17.406250,17.500000,17.375000,17.500000,4.719118,888000
1994-05-31,17.343750,17.625000,17.343750,17.562500,4.735971,1387600
1994-06-01,17.500000,17.593750,17.406250,17.406250,4.693835,1530800
1994-06-02,17.343750,17.375000,17.312500,17.375000,4.685409,1077600
1994-06-03,17.312500,17.375000,17.218750,17.250000,4.651703,2266400
1994-06-06,17.343750,17.375000,17.312500,17.312500,4.668554,1053200
1994-06-07,17.218750,17.218750,17.031250,17.031250,4.592713,779200
1994-06-08,17.187500,17.187500,16.968750,17.000000,4.584287,1901200
1994-06-09,16.968750,17.156250,16.937500,16.937500,4.567432,1220800
1994-06-10,17.375000,17.750000,17.375000,17.750000,4.786534,1749200
1994-06-13,17.687500,17.843750,17.656250,17.843750,4.811813,1576400
1994-06-14,18.375000,18.531250,18.312500,18.468750,4.980356,5360000
1994-06-15,18.437500,18.468750,18.312500,18.437500,4.971927,3139600
1994-06-16,18.593750,18.718750,18.531250,18.718750,5.047771,3074400
1994-06-17,18.781250,18.781250,18.687500,18.718750,5.047771,2019200
1994-06-20,18.656250,18.656250,18.500000,18.500000,4.988782,1980800
1994-06-21,18.468750,18.468750,18.156250,18.250000,4.921366,2109200
1994-06-22,18.406250,18.531250,18.375000,18.468750,4.980356,2408000
1994-06-23,18.531250,18.656250,18.468750,18.500000,4.988782,2331600
1994-06-24,18.437500,18.468750,18.250000,18.250000,4.921366,1388400
1994-06-27,18.281250,18.406250,18.250000,18.375000,4.955076,1128400
1994-06-28,18.375000,18.468750,18.218750,18.218750,4.912940,1617200
1994-06-29,18.343750,18.375000,18.218750,18.250000,4.921366,1752400
1994-06-30,18.093750,18.125000,17.937500,17.937500,4.837096,651200
1994-07-01,17.968750,18.093750,17.968750,18.031250,4.862378,1280000
1994-07-05,17.968750,18.000000,17.875000,17.968750,4.845520,2333600
1994-07-06,17.968750,17.968750,17.812500,17.937500,4.837096,1039600
1994-07-07,17.843750,17.875000,17.781250,17.812500,4.803386,1235200
1994-07-08,17.718750,17.812500,17.687500,17.687500,4.769678,2110000
