Date,Open,High,Low,Close,Adj Close,Volume
1996-12-02,42.739178,43.462132,42.654171,43.249538,12.772128,1104301
1996-12-03,43.844894,44.844238,43.802399,44.780453,13.224225,2090177
1996-12-04,44.397755,44.546562,43.908695,44.312675,13.086085,1395255
1996-12-05,44.270164,44.716648,43.079445,43.611015,12.878877,2248879
1996-12-06,42.547874,42.951847,41.676037,42.611588,12.583734,3265414
1996-12-09,42.951847,43.547218,42.909351,43.504707,12.847483,1419902
1996-12-10,43.717304,44.142586,43.377117,43.589714,12.872587,1175236
1996-12-11,43.292038,43.292038,42.322472,42.590370,12.577469,1676590
1996-12-12,42.569084,42.909351,42.420284,42.420284,12.527237,976859
1996-12-13,42.105553,42.292694,41.867420,42.292694,12.489559,1356782
1996-12-16,42.313904,43.589714,41.995010,43.207035,12.759576,1808241
1996-12-17,42.951847,43.100655,42.275635,42.505287,12.552341,1686810
1996-12-18,42.611588,42.781761,42.398991,42.526581,12.558630,1020742
1996-12-19,42.611588,43.270737,42.569084,43.100655,12.728160,1162612
1996-12-20,43.504707,43.908695,43.249538,43.377117,12.809802,1404873
1996-12-23,43.292038,43.653519,43.292038,43.462132,12.834909,423806
1996-12-24,43.462132,43.462132,43.462132,43.462132,12.834909,0
1996-12-25,43.462132,43.462132,43.462132,43.462132,12.834909,0
1996-12-26,43.462132,43.462132,43.462132,43.462132,12.834909,0
1996-12-27,43.632225,44.227673,43.632225,44.227673,13.060981,441840
1996-12-30,44.482761,45.248310,44.482761,45.141930,13.330972,977460
1996-12-31,45.141930,45.141930,45.141930,45.141930,13.330972,0
1997-01-01,45.141930,45.141930,45.141930,45.141930,13.330972,0
1997-01-02,44.567856,44.567856,44.057487,44.142586,13.035852,1195675
1997-01-03,44.418976,45.078125,44.397755,44.993130,13.287031,1320112
1997-01-06,45.078125,46.481541,45.078125,46.481541,13.726577,2076351
1997-01-07,46.481541,46.736721,45.716084,45.949963,13.569597,2154500
1997-01-08,46.205143,47.183193,45.843666,47.119408,13.914948,2371513
1997-01-09,46.843018,47.459675,46.566628,47.459675,14.015433,3569593
1997-01-10,47.587265,47.672272,46.821728,47.246998,13.952628,2677495
1997-01-13,47.629768,49.054386,47.629768,49.054386,14.486371,1695827
1997-01-14,49.096882,50.883064,48.799206,50.564083,14.932206,3127151
1997-01-15,50.776768,51.010647,49.118172,49.309566,14.561729,2413593
1997-01-16,49.373360,49.649742,48.267635,48.905579,14.442428,3065834
1997-01-17,49.033176,50.372707,48.969379,49.798626,14.706154,2933582
1997-01-20,50.181320,50.308910,48.352722,48.437721,14.304261,2759852
1997-01-21,48.416519,48.671692,47.736065,48.182632,14.228932,1222726
1997-01-22,48.650398,49.394653,48.374016,48.692909,14.379622,2346866
1997-01-23,48.544102,49.798626,48.437721,49.309566,14.561729,2158708
1997-01-24,49.033176,49.033176,48.310223,48.310223,14.266612,1696428
1997-01-27,48.331425,48.650398,47.757351,48.161339,14.222644,845809
1997-01-28,48.480312,49.500950,48.267635,49.373360,14.580567,2110616
1997-01-29,49.033176,49.245770,48.501522,48.820499,14.417305,1556962
1997-01-30,49.033176,49.181976,48.714203,48.884293,14.436140,975055
1997-01-31,49.033176,49.862427,48.777988,49.628540,14.655924,1793813
1997-02-03,49.968727,50.797970,49.968727,50.797970,15.001272,2402171
1997-02-04,50.989365,52.009991,50.989365,51.457130,15.195931,2434633
1997-02-05,51.627232,51.818615,51.116943,51.712318,15.271297,1703040
1997-02-06,51.712318,51.712318,51.712318,51.712318,15.271297,0
1997-02-07,51.393345,51.712318,51.372124,51.457130,15.195931,509770
1997-02-10,51.414635,52.328976,51.095661,52.137581,15.396879,1505264
1997-02-11,52.307682,52.626659,52.137581,52.477768,15.497337,1308089
1997-02-12,52.477768,52.477768,52.477768,52.477768,15.497337,0
1997-02-13,53.030628,53.179436,52.690445,53.115726,15.685737,2148488
1997-02-14,53.158218,53.477196,52.392761,52.477768,15.497337,2052305
1997-02-17,52.477768,52.520279,51.839909,52.328976,15.453399,1224530
1997-02-18,52.520279,52.903038,52.307682,52.413979,15.478503,1015933
