Date,Open,High,Low,Close,Adj Close,Volume
1994-02-28,1.578125,1.625000,1.578125,1.617188,1.226407,18332800
1994-03-01,1.609375,1.613281,1.585938,1.613281,1.223444,12080000
1994-03-02,1.585938,1.621094,1.585938,1.609375,1.220482,11446400
1994-03-03,1.601563,1.601563,1.578125,1.585938,1.202709,11216000
1994-03-04,1.589844,1.621094,1.582031,1.621094,1.229369,12502400
1994-03-07,1.613281,1.675781,1.613281,1.667969,1.265528,20921600
1994-03-08,1.691406,1.738281,1.687500,1.710938,1.298128,35043200
1994-03-09,1.695313,1.699219,1.660156,1.691406,1.283309,12057600
1994-03-10,1.679688,1.683594,1.632813,1.648438,1.250709,9961600
1994-03-11,1.656250,1.664063,1.636719,1.656250,1.256636,5971200
1994-03-14,1.652344,1.675781,1.640625,1.671875,1.268491,6124800
1994-03-15,1.664063,1.703125,1.644531,1.703125,1.292201,9353600
1994-03-16,1.765625,1.824219,1.765625,1.796875,1.363331,45244800
1994-03-17,1.796875,1.796875,1.765625,1.781250,1.351476,13977600
1994-03-18,1.785156,1.789063,1.773438,1.785156,1.354440,9459200
1994-03-21,1.789063,1.804688,1.781250,1.796875,1.363331,5139200
1994-03-22,1.789063,1.824219,1.789063,1.816406,1.378150,10470400
1994-03-23,1.812500,1.812500,1.773438,1.773438,1.345549,5417600
1994-03-24,1.777344,1.777344,1.738281,1.750000,1.327765,6787200
1994-03-25,1.750000,1.757813,1.734375,1.742188,1.321839,3433600
1994-03-28,1.742188,1.753906,1.734375,1.738281,1.318875,8620800
1994-03-29,1.742188,1.746094,1.707031,1.718750,1.304056,12377600
1994-03-30,1.718750,1.718750,1.656250,1.660156,1.259600,11590400
1994-03-31,1.683594,1.683594,1.632813,1.656250,1.256636,13334400
1994-04-04,1.640625,1.664063,1.632813,1.644531,1.247744,12649600
1994-04-05,1.656250,1.671875,1.652344,1.656250,1.256636,8208000
1994-04-06,1.664063,1.722656,1.640625,1.707031,1.295164,15110400
1994-04-07,1.710938,1.796875,1.707031,1.789063,1.357404,10294400
1994-04-08,1.777344,1.835938,1.773438,1.816406,1.378150,21110400
1994-04-11,1.820313,1.824219,1.796875,1.816406,1.378150,6873600
1994-04-12,1.812500,1.824219,1.796875,1.800781,1.366295,8025600
1994-04-13,1.796875,1.828125,1.769531,1.773438,1.345549,12665600
1994-04-14,1.757813,1.757813,1.726563,1.757813,1.333693,7452800
1994-04-15,1.757813,1.761719,1.742188,1.753906,1.330729,4054400
1994-04-18,1.753906,1.757813,1.687500,1.695313,1.286273,6128000
1994-04-19,1.687500,1.710938,1.671875,1.683594,1.277382,13328000
