iter	RMSE
0	18.53957634
1	12.63293939
2	8.574868486
3	6.00442983
4	4.21108323
5	3.086725218
6	2.371377534
7	1.930522034
8	1.689066197
9	1.465876962
10	1.355968764
11	1.27230403
12	1.234978686
13	1.137548486
14	1.114486182
15	1.059073649
16	1.038331896
17	0.9970391287
18	0.9561354924
19	0.9393888609
20	0.9090830729
21	0.8852407932
22	0.8684062098
23	0.8572804493
24	0.8315215475
25	0.8008898373
26	0.7857296905
27	0.7765952866
28	0.7532522125
29	0.7304536256
30	0.7130264862
31	0.7023807489
32	0.6863857743
33	0.6713118697
34	0.6647132697
35	0.6560782213
36	0.6469960664
37	0.6412155769
38	0.6342712136
39	0.6211035328
40	0.6093415588
41	0.592830854
42	0.5839063149
43	0.5744607725
44	0.5664320528
45	0.5620723166
46	0.5591888907
47	0.552334868
48	0.5486327803
49	0.5441942213
50	0.5336156143
51	0.5239059052
52	0.5179716878
53	0.5126161215
54	0.5002117437
55	0.4955887724
56	0.489507701
57	0.4850623347
58	0.479170331
59	0.4769576818
60	0.4743616543
61	0.4695749067
62	0.4607227693
63	0.4552393123
64	0.4495086352
65	0.4481772267
66	0.4457802714
67	0.4441400589
68	0.4358358719
69	0.4289597686
70	0.4225945461
71	0.4195730321
72	0.4167906277
73	0.4153746971
74	0.4135046696
75	0.411208576
76	0.409363227
77	0.4061426147
78	0.4027361306
79	0.3995391608
80	0.3945130834
81	0.3887734993
82	0.3867958012
83	0.3851961166
84	0.3841642708
85	0.3830740948
86	0.3795248505
87	0.3762420881
88	0.3734521375
89	0.3708619852
90	0.3679140336
91	0.3664398107
92	0.3650663159
93	0.3618818476
94	0.3601060205
95	0.3563565431
96	0.3521285785
97	0.3506265739
98	0.3493282048
99	0.3479698212
