iter	Passed	Remaining
0	3	342
1	6	309
2	9	293
3	11	285
4	14	281
5	17	275
6	20	278
7	23	271
8	26	266
9	29	265
10	32	259
11	35	256
12	37	253
13	40	248
14	43	244
15	46	241
16	49	242
17	52	239
18	55	234
19	57	231
20	60	228
21	63	226
22	66	222
23	69	219
24	72	216
25	74	212
26	78	211
27	81	210
28	84	206
29	87	203
30	89	199
31	92	197
32	95	194
33	98	191
34	101	187
35	103	184
36	106	180
37	109	179
38	112	176
39	115	172
40	117	169
41	120	166
42	123	164
43	126	161
44	129	157
45	131	154
46	134	151
47	137	148
48	140	146
49	143	143
50	145	140
51	148	136
52	150	133
53	154	131
54	157	128
55	159	125
56	162	122
57	164	119
58	168	117
59	173	115
60	176	112
61	178	109
62	181	106
63	187	105
64	190	102
65	196	101
66	201	99
67	205	96
68	208	93
69	210	90
70	213	87
71	216	84
72	219	81
73	222	78
74	225	75
75	227	71
76	230	68
77	233	65
78	235	62
79	238	59
80	241	56
81	244	53
82	246	50
83	249	47
84	252	44
85	254	41
86	258	38
87	261	35
88	264	32
89	267	29
90	269	26
91	272	23
92	275	20
93	278	17
94	281	14
95	283	11
96	286	8
97	289	5
98	292	2
99	295	0
